Order,LotArea,Alley,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemod,Foundation,BsmtFin,BsmtUnf,AC,GrLivArea,HalfBath,FullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageFinish,GarageCars,GarageArea,WoodDeckSF,PorchSF,YrSold,SalePrice
71,12552,no,Corner,7,5,2004,2005,PConc,222,769,Y,1947,1,2,3,Gd,8,1,RFn,2,678,0,136,2010,254900
72,10440,no,Corner,6,5,2005,2005,PConc,1414,54,Y,1468,0,3,2,Gd,6,1,Fin,2,528,0,318,2010,271500
73,10142,no,Inside,7,5,2004,2004,PConc,656,300,Y,2084,1,3,4,Gd,8,0,RFn,2,618,0,45,2010,233000
74,11920,no,Inside,7,5,2004,2004,PConc,0,831,Y,1659,1,2,3,Gd,8,0,RFn,2,484,144,68,2010,181000
75,8880,no,Inside,7,5,1994,2002,PConc,695,253,Y,2110,1,3,3,Gd,8,2,RFn,2,463,0,130,2010,205000
77,11218,no,Inside,6,5,1992,1992,PConc,0,1055,Y,1845,1,2,3,Gd,8,1,RFn,2,462,635,104,2010,189000
80,9453,no,CulDSac,7,7,1993,2003,PConc,402,594,Y,1744,1,2,3,Gd,7,0,RFn,2,457,370,308,2010,194500
81,9672,no,Corner,6,5,1984,1985,PConc,338,702,Y,1097,0,2,3,TA,6,0,Unf,2,480,0,0,2010,152000
82,8400,no,Inside,6,6,1980,1981,CBlock,0,650,Y,1564,1,2,3,TA,7,1,Unf,2,476,0,254,2010,171000
83,9800,no,Corner,5,5,1920,1950,BrkTil,0,816,N,1012,0,1,2,TA,5,0,Unf,1,429,121,80,2010,67500
85,11782,no,Inside,5,7,1961,1995,CBlock,899,210,Y,1155,0,2,3,Gd,6,0,Unf,2,576,192,0,2010,148000
86,8450,no,Inside,5,8,1965,2009,CBlock,670,224,Y,894,0,2,3,TA,5,1,Unf,1,336,416,144,2010,138500
87,9819,no,Inside,5,5,1967,1967,CBlock,450,432,Y,900,0,1,3,TA,5,0,Unf,1,280,0,0,2010,122000
88,7500,no,Corner,5,5,1963,1963,CBlock,824,216,Y,1040,1,2,3,TA,5,0,Fin,1,308,0,220,2010,133000
89,6897,no,Corner,5,8,1962,2010,CBlock,659,381,Y,1040,1,2,3,TA,6,0,Unf,1,260,0,104,2010,127000
90,15410,no,CulDSac,6,6,1974,2002,CBlock,985,223,Y,1494,0,3,3,TA,7,2,Fin,2,461,296,186,2010,169000
91,10186,no,Inside,7,5,1992,1992,PConc,674,76,Y,1923,1,3,3,Gd,8,1,RFn,2,564,240,39,2010,190000
92,13143,no,Inside,8,5,1993,1993,PConc,1231,0,Y,2349,1,3,4,Gd,9,1,RFn,3,762,32,130,2010,362500
93,11134,no,Inside,8,5,1992,1993,PConc,1129,261,Y,2225,1,3,4,Gd,7,1,RFn,3,713,198,30,2010,285000
100,4403,no,Inside,7,5,2009,2009,PConc,578,892,Y,1478,1,3,2,Gd,7,1,Fin,2,484,0,144,2010,222000
105,12853,yes,Inside,8,5,2010,2010,PConc,1032,610,Y,1418,1,2,1,Gd,6,1,RFn,3,852,160,416,2010,267916
106,7379,no,Inside,8,5,2000,2000,PConc,484,491,Y,1848,1,3,3,Gd,7,1,RFn,2,592,280,184,2010,254000
109,13517,no,CulDSac,6,8,1976,2005,CBlock,533,192,Y,1479,1,2,3,Gd,6,0,RFn,2,475,0,44,2010,130500
110,8000,no,Inside,7,5,2002,2002,PConc,833,659,Y,1492,0,3,3,Gd,6,1,RFn,2,596,277,137,2010,230000
111,10456,no,Inside,6,6,1967,1967,CBlock,506,1323,Y,1829,0,3,4,TA,8,0,RFn,2,535,0,76,2010,218500
112,10791,no,Inside,6,5,1993,1993,PConc,1137,143,Y,2495,1,3,4,Gd,9,1,Unf,2,660,224,32,2010,243500
113,10603,no,Inside,6,7,1977,2001,PConc,1200,410,Y,1610,0,3,3,Gd,6,2,RFn,2,480,168,68,2010,205000
114,18837,no,Inside,6,5,1978,1978,PConc,733,491,Y,1891,1,3,3,TA,7,1,RFn,2,678,0,69,2010,212500
115,10421,no,Inside,7,5,1988,1988,CBlock,394,586,Y,1714,1,2,3,TA,7,1,Unf,2,496,228,222,2010,196500
116,9360,no,Inside,6,7,1972,2006,CBlock,982,179,Y,1381,1,2,3,Gd,5,1,RFn,2,676,0,0,2010,197500
117,9600,no,Inside,6,6,1971,1971,CBlock,329,386,Y,1645,2,1,4,TA,7,0,RFn,2,441,0,78,2010,171000
118,9600,no,Inside,5,5,1966,1966,CBlock,698,534,Y,1232,1,2,3,TA,6,0,RFn,2,490,0,224,2010,142250
119,9790,no,Inside,6,5,1963,1963,CBlock,650,678,Y,1328,1,2,3,TA,6,2,Unf,2,528,0,26,2010,143000
120,9320,no,Inside,4,5,1959,1959,CBlock,569,381,Y,1225,1,2,3,TA,6,0,NA,0,0,352,0,2010,128950
121,9900,no,Corner,5,5,1966,1966,PConc,1059,150,Y,1209,0,2,3,TA,6,0,RFn,2,504,0,120,2010,159000
122,9680,no,Inside,5,6,1967,1967,CBlock,1010,500,Y,1510,0,3,3,Gd,6,0,RFn,2,517,0,244,2010,178900
123,10600,yes,Inside,6,5,1964,1964,CBlock,0,533,Y,1775,0,2,3,TA,8,0,Unf,2,480,0,172,2010,136300
124,14112,no,Corner,5,7,1964,1964,PConc,1014,138,Y,1152,0,2,3,TA,6,1,RFn,2,484,227,0,2010,180500
125,8800,no,Inside,6,7,1963,1963,PConc,763,173,Y,1054,0,2,3,Gd,6,0,RFn,2,480,120,0,2010,137500
127,9717,no,Inside,5,6,1950,1996,CBlock,1078,0,Y,1078,0,2,2,Gd,5,0,Unf,1,240,366,112,2010,142125
128,9724,no,Inside,5,7,1952,2002,CBlock,670,470,Y,2461,0,2,3,TA,7,2,Unf,2,400,0,0,2010,197600
129,17360,no,Corner,6,6,1949,1950,CBlock,300,482,Y,1556,0,2,3,TA,6,1,Unf,2,470,0,150,2010,172500
130,7207,no,Inside,5,7,1958,2008,CBlock,696,162,Y,858,0,2,2,TA,4,0,NA,0,0,117,0,2010,116500
131,5350,no,Inside,3,2,1940,1966,CBlock,0,728,Y,1306,0,1,3,Fa,6,0,NA,0,0,263,0,2010,76500
132,9920,no,Inside,5,5,1954,1954,CBlock,644,412,Y,1063,0,2,3,TA,6,0,RFn,1,280,0,164,2010,128000
133,9600,no,Inside,6,6,1955,1972,CBlock,806,350,Y,1520,0,2,3,TA,7,2,RFn,1,364,0,189,2010,153000
134,7800,no,Inside,5,6,1954,1954,PConc,540,728,Y,1268,0,1,2,TA,7,1,Fin,1,244,0,98,2010,132000
135,11380,no,Inside,6,8,1966,2008,CBlock,944,136,Y,1128,0,2,2,Gd,5,1,Unf,1,315,238,0,2010,178000
137,19900,no,Inside,7,5,1970,1989,CBlock,912,1035,Y,2207,0,3,3,TA,7,1,RFn,2,576,301,0,2010,180000
138,16492,no,Corner,6,6,1966,2002,CBlock,960,557,Y,1888,1,2,2,Gd,6,1,Fin,2,578,0,0,2010,190000
140,8197,no,Inside,7,5,2003,2009,PConc,1188,292,Y,1480,0,3,3,Gd,7,0,RFn,2,620,252,73,2010,214000
141,8050,no,Inside,5,5,1959,1959,CBlock,1018,125,Y,1143,0,2,3,TA,6,0,RFn,1,308,0,0,2010,136000
142,10552,no,Inside,5,5,1959,1959,CBlock,1018,380,Y,1700,2,1,4,Gd,6,1,RFn,2,447,0,38,2010,165500
143,8400,no,Inside,5,6,1957,1957,CBlock,922,392,Y,1314,0,2,3,TA,5,0,RFn,1,294,250,0,2010,145000
144,8760,no,Inside,6,6,1959,1959,CBlock,0,1194,Y,1194,0,2,3,TA,6,0,RFn,1,312,0,120,2010,148000
145,12160,no,Inside,5,5,1959,1959,CBlock,1000,188,Y,1188,0,2,3,TA,6,0,RFn,2,531,0,0,2010,142000
146,9300,no,Inside,5,5,1960,1960,CBlock,697,571,Y,1264,0,2,3,TA,6,2,Unf,2,461,0,143,2010,167500
147,10725,no,Inside,5,5,1959,1959,CBlock,936,270,Y,1206,0,1,3,TA,6,0,RFn,1,312,0,21,2010,108538
148,10032,no,Inside,6,5,1959,1959,CBlock,734,510,Y,1580,1,2,3,TA,6,2,Unf,2,440,0,188,2010,159500
149,8382,no,Inside,4,5,1956,1956,CBlock,0,832,Y,1337,0,1,3,TA,5,0,Unf,1,263,0,0,2010,108000
150,10950,no,Inside,5,7,1952,1952,CBlock,339,525,Y,1064,1,1,2,Fa,4,0,Unf,1,318,0,0,2010,135000
151,10895,no,Corner,5,6,1955,1955,CBlock,648,324,Y,972,0,1,3,TA,5,0,Unf,1,305,0,205,2010,122500
153,7922,no,Inside,5,7,1953,2007,CBlock,731,326,Y,1057,0,2,3,Gd,5,0,Unf,1,246,0,52,2010,109000
154,7898,no,Corner,4,7,1920,1994,BrkTil,0,576,Y,985,1,1,2,TA,4,0,Unf,2,676,0,0,2010,105000
155,7200,no,Inside,5,7,1955,2007,Slab,0,0,Y,827,0,1,2,TA,5,1,Unf,1,392,0,0,2010,107500
156,10200,no,Inside,5,7,1954,2003,CBlock,682,404,Y,1086,0,2,3,TA,6,0,Unf,2,490,0,0,2010,144900
157,5868,no,Inside,5,7,1956,2000,CBlock,488,448,Y,936,0,2,2,TA,4,0,Fin,1,308,0,240,2010,129000
158,17503,no,Inside,6,5,1948,1950,CBlock,0,912,Y,1458,1,1,3,TA,6,1,Unf,1,330,192,0,2010,97500
160,9830,no,Corner,5,7,1959,2006,CBlock,330,733,Y,1287,0,2,3,Gd,7,1,Fin,2,576,364,199,2010,162000
161,11275,no,Corner,7,7,1967,2007,CBlock,0,710,Y,2978,1,2,5,Gd,11,1,Fin,2,564,240,0,2010,242000
162,8064,no,Inside,6,8,1948,2004,CBlock,655,161,Y,1224,0,2,3,TA,5,0,Unf,1,280,414,0,2010,132000
163,7500,no,Inside,5,7,1959,1994,CBlock,1246,0,Y,1246,1,2,3,Gd,6,0,RFn,1,305,218,0,2010,154000
164,8520,no,Corner,5,4,1952,1952,CBlock,507,403,Y,1385,0,2,4,TA,6,0,Unf,2,720,0,0,2010,166000
165,7200,no,Corner,5,7,1951,2000,CBlock,720,180,Y,900,1,1,3,Gd,5,0,Unf,2,576,222,32,2010,134800
166,10000,no,Corner,6,6,1962,1962,CBlock,0,1116,Y,1116,1,1,3,TA,5,0,Unf,2,440,0,385,2010,160000
167,7635,no,Corner,5,6,1960,1960,CBlock,938,237,Y,1175,1,1,3,TA,6,0,RFn,2,484,0,0,2010,148000
168,9760,no,Inside,6,7,1963,1984,CBlock,980,415,Y,1395,0,2,2,TA,7,1,RFn,2,440,657,353,2010,192000
169,7700,no,Inside,6,5,1966,1966,CBlock,0,756,Y,1839,1,1,4,TA,7,1,Unf,2,442,0,340,2010,155000
170,4800,no,Corner,4,5,1900,1954,PConc,48,661,Y,1844,0,2,3,TA,9,2,Unf,1,240,84,0,2010,80400
171,8800,yes,Corner,4,7,1910,2004,BrkTil,0,576,Y,1140,0,1,3,TA,7,0,NA,0,0,0,160,2010,96500
172,4485,yes,Inside,5,7,1920,1950,PConc,579,357,Y,936,0,2,2,TA,5,1,NA,0,0,51,135,2010,109500
173,8960,yes,Inside,5,6,1927,1950,CBlock,0,1008,Y,1028,0,1,2,TA,5,1,Unf,2,360,0,130,2010,115000
174,5805,yes,Inside,5,7,1957,1957,CBlock,1347,0,Y,1347,1,2,3,Gd,6,0,Unf,2,551,0,0,2010,143000
175,5790,no,Corner,3,6,1915,1950,CBlock,0,840,N,1605,0,2,3,TA,8,0,Unf,1,379,0,202,2010,107400
176,4608,no,Corner,4,6,1945,1950,CBlock,0,747,Y,747,0,1,2,TA,4,0,Unf,1,220,0,0,2010,80000
177,7200,no,Corner,5,7,1940,1992,CBlock,510,278,Y,804,0,2,2,Gd,4,2,Unf,1,240,0,154,2010,119000
178,5500,no,Corner,5,7,1929,2001,BrkTil,926,0,Y,1316,0,2,3,TA,6,0,Unf,2,484,0,0,2010,130000
179,6900,no,Corner,6,7,1938,2000,PConc,0,827,Y,1251,0,1,3,Fa,6,0,Unf,1,240,0,0,2010,119000
180,11851,no,Inside,5,7,1948,2009,BrkTil,780,247,Y,1633,0,1,3,Gd,7,1,Unf,1,240,0,226,2010,129000
181,8239,no,Inside,5,6,1920,1962,BrkTil,176,832,Y,1245,0,1,3,TA,6,0,Unf,1,315,0,334,2010,100000
182,9656,no,Inside,2,2,1923,1970,BrkTil,0,678,N,832,0,1,2,TA,5,1,Unf,2,780,0,0,2010,12789
183,8520,no,Inside,6,8,1928,2003,BrkTil,0,624,Y,720,0,1,2,TA,5,0,Unf,2,484,106,0,2010,105900
184,9600,yes,Corner,8,9,1900,2003,BrkTil,0,930,N,1566,0,2,3,Gd,7,0,Unf,1,288,54,474,2010,150000
185,10800,no,Inside,5,6,1915,1950,PConc,686,0,Y,1652,0,3,4,TA,7,0,Unf,1,416,0,196,2010,139000
186,9000,yes,Inside,8,9,1890,2002,Stone,0,346,Y,2268,0,3,3,Gd,7,0,Unf,2,624,0,108,2010,240000
188,7407,no,Inside,6,7,1957,1996,CBlock,600,312,Y,1236,0,2,2,TA,6,0,Unf,2,923,0,316,2010,149700
189,7740,no,Inside,4,7,1910,1950,CBlock,0,622,Y,1363,0,1,3,TA,6,0,Unf,2,528,0,168,2010,125500
191,10560,no,Inside,6,7,1922,1994,CBlock,283,455,Y,1470,1,1,2,TA,6,0,Unf,2,624,0,0,2010,140750
192,5830,no,Corner,5,6,1950,1997,CBlock,788,200,Y,1612,1,1,3,TA,7,0,Unf,1,363,0,0,2010,128500
193,7793,no,Corner,7,7,1922,2005,BrkTil,474,634,N,2068,1,1,3,Gd,8,1,Unf,1,315,0,60,2010,209500
194,5000,no,Inside,4,7,1925,1950,BrkTil,188,577,N,765,0,2,2,Gd,4,0,Unf,1,200,135,41,2010,87000
195,6000,no,Inside,6,7,1939,1950,BrkTil,464,144,Y,1132,0,2,2,TA,5,0,Unf,1,240,0,128,2010,134000
196,6000,no,Inside,6,6,1940,1950,CBlock,264,308,Y,1196,2,1,3,TA,6,2,Unf,2,576,0,0,2010,128000
197,6360,no,Corner,5,6,1942,1950,CBlock,519,316,Y,1453,1,1,3,Gd,7,2,Unf,1,240,0,183,2010,132000
198,6000,no,Inside,6,7,1948,1950,CBlock,300,480,Y,1416,1,1,3,TA,6,0,Unf,1,312,221,48,2010,139900
199,6240,no,Inside,5,7,1936,1980,CBlock,276,252,Y,1040,0,1,2,TA,5,0,Fin,2,624,306,32,2010,123900
200,6240,no,Inside,5,5,1930,1950,BrkTil,448,480,Y,1536,0,2,4,TA,7,1,Unf,2,480,0,10,2010,138400
201,6120,no,Inside,6,5,1923,1950,BrkTil,960,164,Y,1068,0,2,2,TA,5,1,Unf,1,288,0,128,2010,109500
202,10300,no,Inside,7,6,1921,1950,BrkTil,0,576,Y,1710,0,2,3,TA,9,0,Unf,2,480,12,75,2010,140000
203,8094,yes,Inside,4,5,1915,1950,CBlock,0,888,Y,1962,1,1,4,TA,9,1,Unf,2,572,160,364,2010,149500
204,12900,yes,Inside,6,8,1912,2009,PConc,0,780,Y,1560,1,1,3,Gd,7,0,NA,0,0,344,168,2010,159900
205,3068,yes,Inside,6,8,1920,1993,BrkTil,0,662,Y,1324,1,1,3,TA,6,0,Unf,1,180,0,112,2010,122000
209,24090,no,Inside,7,7,1940,1950,CBlock,0,1032,Y,2403,0,2,4,TA,10,2,Unf,1,349,56,318,2010,244400
210,15263,no,Inside,5,5,1959,1959,CBlock,766,656,Y,1675,0,2,3,TA,8,2,Unf,1,365,0,132,2010,173000
211,10632,no,Inside,5,3,1917,1950,BrkTil,0,689,N,1224,1,1,3,Po,6,0,Unf,1,180,0,248,2010,107500
213,6001,no,Inside,6,5,1940,1950,CBlock,368,232,N,919,0,1,3,TA,5,0,Unf,1,231,0,45,2010,95000
214,6449,no,Inside,4,1,1907,1950,CBlock,73,634,N,1884,1,1,4,TA,7,0,NA,0,0,0,239,2010,93369
216,6342,no,Inside,5,8,1875,1996,CBlock,0,780,N,1020,0,1,2,TA,6,0,NA,0,0,0,176,2010,94000
220,11341,no,Inside,5,6,1957,1996,CBlock,1302,90,Y,1392,1,2,3,TA,5,1,Unf,2,528,0,95,2010,121500
221,8521,no,FR2,5,5,1967,1967,CBlock,842,70,Y,912,0,1,3,TA,5,1,Unf,1,336,0,0,2010,125000
222,8246,no,Inside,5,8,1968,2001,CBlock,856,204,Y,1060,0,2,3,Gd,6,1,Unf,1,270,406,90,2010,154000
223,7800,no,Inside,5,7,1966,2008,CBlock,714,150,Y,892,0,2,3,Gd,5,0,Unf,1,416,0,0,2010,137900
224,9364,no,Corner,6,7,1969,1969,CBlock,371,292,Y,1352,1,1,4,TA,7,0,Fin,1,299,379,36,2010,158000
225,7832,no,Inside,5,5,1968,1968,CBlock,775,89,Y,864,0,2,2,TA,4,0,Unf,1,280,226,0,2010,137250
227,11227,no,Inside,5,5,1968,1968,CBlock,720,0,Y,1440,1,1,4,TA,7,2,Unf,2,480,192,38,2010,163000
228,11616,no,CulDSac,6,5,1978,1978,CBlock,438,234,Y,1386,1,2,3,TA,6,1,Fin,2,440,335,0,2010,158900
229,14000,no,Inside,7,5,1996,1997,PConc,1201,105,Y,2260,1,3,3,Gd,7,0,RFn,2,533,296,44,2010,328000
230,20062,no,Inside,7,7,1977,2001,CBlock,1092,328,Y,1483,1,2,1,TA,4,2,RFn,2,690,496,0,2010,270000
231,9259,no,Corner,4,4,1927,1950,BrkTil,0,660,N,756,0,1,2,TA,4,0,Unf,2,440,80,0,2010,85000
232,9600,no,Inside,4,7,1950,1995,CBlock,442,625,Y,1067,0,2,2,Gd,4,0,Unf,2,436,290,0,2010,128000
233,23595,no,Inside,7,6,1979,1979,PConc,1258,74,Y,1524,1,2,0,Gd,4,1,Fin,2,586,268,0,2010,260000
234,17082,no,CulDSac,6,5,1978,1992,PConc,964,153,Y,1981,1,3,4,Gd,8,1,Fin,2,522,336,104,2010,230000
235,18600,no,Inside,3,4,1938,1990,CBlock,972,0,Y,1610,1,2,4,Fa,8,1,RFn,1,480,0,60,2010,124000
236,10625,no,Corner,5,5,1920,1950,BrkTil,108,350,N,835,0,1,2,TA,5,0,Unf,1,366,0,77,2010,83000
237,11479,no,Inside,6,7,1950,1987,CBlock,491,172,Y,1074,0,2,3,Gd,6,1,Unf,1,467,0,104,2010,144500
238,9571,no,Inside,5,6,1956,1956,CBlock,739,405,Y,1144,0,2,3,TA,6,0,Unf,1,596,44,0,2010,129000
239,9350,no,Inside,4,6,1947,1979,CBlock,192,564,Y,1531,0,1,3,TA,8,1,Unf,1,209,0,0,2010,127000
240,9525,no,Inside,5,7,1954,1998,CBlock,954,218,Y,1172,0,2,3,TA,5,0,Fin,1,366,240,0,2010,128000
241,10420,no,Corner,6,5,2009,2009,PConc,36,1176,Y,1212,0,2,3,Gd,6,0,RFn,2,460,100,22,2010,186000
242,17485,no,Inside,7,5,2009,2010,PConc,1346,162,Y,1508,0,2,1,Gd,5,2,RFn,2,572,0,0,2010,308030
243,11200,no,CulDSac,5,3,1964,1964,CBlock,0,1250,Y,1298,0,2,3,TA,5,0,Unf,2,504,0,144,2010,114000
244,11100,no,Inside,4,7,1946,2006,CBlock,0,0,Y,930,0,1,2,Gd,6,0,Unf,1,308,0,0,2010,84900
245,9206,no,Inside,6,5,1985,1985,CBlock,0,741,Y,1732,1,2,3,Gd,7,1,Fin,2,476,192,46,2010,178000
246,11980,no,Inside,7,5,1987,1987,CBlock,1433,0,Y,1433,1,2,1,Gd,4,2,RFn,2,528,0,544,2010,270000
247,12361,no,CulDSac,6,7,1993,1993,PConc,860,86,Y,1802,2,2,3,Gd,8,1,RFn,4,1017,450,92,2010,218000
248,9938,no,Inside,7,5,1993,1994,PConc,750,300,Y,1949,1,3,3,Gd,8,1,Fin,2,574,156,90,2010,236000
249,9069,no,Inside,6,6,1992,1992,PConc,747,189,Y,996,0,2,2,Gd,5,0,Unf,2,564,120,0,2010,147000
250,10475,no,Corner,8,5,2008,2008,PConc,0,1694,Y,1694,0,2,3,Gd,7,0,RFn,3,776,160,33,2010,245350
251,6762,no,Inside,7,5,2006,2006,PConc,686,501,Y,1208,0,3,2,Gd,6,0,RFn,2,632,105,61,2010,206000
252,10402,no,Corner,7,5,2009,2009,PConc,0,1226,Y,1226,0,2,3,Gd,6,0,RFn,3,740,0,36,2010,198900
